STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190770,BOSTON MA US,19481113 05:00,0.25, , 
COOP:190770,BOSTON MA US,19481113 08:00,0.25, , 
COOP:190770,BOSTON MA US,19481113 10:00,0.51, , 
COOP:190770,BOSTON MA US,19481113 18:00,0.76, , 
COOP:190770,BOSTON MA US,19481115 05:00,0.25, , 
COOP:190770,BOSTON MA US,19481117 08:00,0.51, , 
COOP:190770,BOSTON MA US,19481117 09:00,0.25, , 
COOP:190770,BOSTON MA US,19481117 15:00,1.52, , 
COOP:190770,BOSTON MA US,19481117 23:00,25399.75,[, 
COOP:190770,BOSTON MA US,19481118 00:00,25399.75,], 
COOP:190770,BOSTON MA US,19481119 19:00,0.51, , 
COOP:190770,BOSTON MA US,19481119 20:00,1.02, , 
COOP:190770,BOSTON MA US,19481119 21:00,1.02, , 
COOP:190770,BOSTON MA US,19481119 22:00,0.76, , 
COOP:190770,BOSTON MA US,19481119 23:00,0.25, , 
COOP:190770,BOSTON MA US,19481120 00:00,4.32, , 
COOP:190770,BOSTON MA US,19481120 01:00,2.03, , 
COOP:190770,BOSTON MA US,19481120 02:00,0.51, , 
COOP:190770,BOSTON MA US,19481120 04:00,5.33, , 
COOP:190770,BOSTON MA US,19481120 05:00,2.03, , 
COOP:190770,BOSTON MA US,19481120 06:00,2.29, , 
COOP:190770,BOSTON MA US,19481120 07:00,11.43, , 
COOP:190770,BOSTON MA US,19481120 08:00,1.02, , 
COOP:190770,BOSTON MA US,19481120 09:00,6.35, , 
COOP:190770,BOSTON MA US,19481120 10:00,10.92, , 
COOP:190770,BOSTON MA US,19481120 11:00,3.05, , 
COOP:190770,BOSTON MA US,19481120 12:00,0.51, , 
COOP:190770,BOSTON MA US,19481120 13:00,0.51, , 
COOP:190770,BOSTON MA US,19481122 17:00,0.51, , 
COOP:190770,BOSTON MA US,19481122 18:00,0.76, , 
COOP:190770,BOSTON MA US,19481122 20:00,0.25, , 
COOP:190770,BOSTON MA US,19481122 21:00,1.02, , 
COOP:190770,BOSTON MA US,19481123 00:00,0.25, , 
COOP:190770,BOSTON MA US,19481123 02:00,0.25, , 
COOP:190770,BOSTON MA US,19481123 03:00,1.78, , 
COOP:190770,BOSTON MA US,19481123 04:00,1.02, , 
COOP:190770,BOSTON MA US,19481123 05:00,0.51, , 
COOP:190770,BOSTON MA US,19481123 07:00,0.25, , 
COOP:190770,BOSTON MA US,19481123 09:00,0.25, , 
COOP:190770,BOSTON MA US,19481124 08:00,0.76, , 
COOP:190770,BOSTON MA US,19481124 09:00,1.52, , 
COOP:190770,BOSTON MA US,19481124 13:00,0.25, , 
COOP:190770,BOSTON MA US,19481124 15:00,0.25, , 
COOP:190770,BOSTON MA US,19481127 06:00,0.76, , 
COOP:190770,BOSTON MA US,19481127 07:00,0.76, , 
COOP:190770,BOSTON MA US,19481127 08:00,0.51, , 
COOP:190770,BOSTON MA US,19481127 09:00,1.02, , 
COOP:190770,BOSTON MA US,19481127 10:00,0.76, , 
COOP:190770,BOSTON MA US,19481127 11:00,1.27, , 
COOP:190770,BOSTON MA US,19481127 12:00,1.02, , 
COOP:190770,BOSTON MA US,19481127 13:00,0.51, , 
COOP:190770,BOSTON MA US,19481129 07:00,1.27, , 
COOP:190770,BOSTON MA US,19481129 08:00,0.76, , 
COOP:190770,BOSTON MA US,19481129 09:00,1.27, , 
COOP:190770,BOSTON MA US,19481129 10:00,1.27, , 
COOP:190770,BOSTON MA US,19481129 11:00,0.76, , 
COOP:190770,BOSTON MA US,19481129 12:00,0.51, , 
COOP:190770,BOSTON MA US,19481129 13:00,0.25, , 
